--- REPORTE INTERCEPCIÓN PUERTO 4444 ---
Fecha: 2026-05-12 00:34:06

[2026-05-12 00:33:16.692] 192.168.10.55 -> 192.168.10.248: Hola desde la PC! Escribe un mensaje secreto:
[2026-05-12 00:33:17.081] 192.168.10.55 -> 192.168.10.248: Hola desde la PC! Escribe un mensaje secreto:
[2026-05-12 00:33:27.211] 192.168.10.248 -> 192.168.10.55: H
[2026-05-12 00:33:28.542] 192.168.10.248 -> 192.168.10.55: o
[2026-05-12 00:33:28.747] 192.168.10.248 -> 192.168.10.55: l
[2026-05-12 00:33:28.880] 192.168.10.248 -> 192.168.10.55: a
[2026-05-12 00:33:29.385] 192.168.10.248 -> 192.168.10.55: a
[2026-05-12 00:33:35.432] 192.168.10.248 -> 192.168.10.55: J
[2026-05-12 00:33:36.864] 192.168.10.248 -> 192.168.10.55: e
[2026-05-12 00:33:37.274] 192.168.10.248 -> 192.168.10.55: h
[2026-05-12 00:33:37.449] 192.168.10.248 -> 192.168.10.55: i
[2026-05-12 00:33:37.972] 192.168.10.248 -> 192.168.10.55: q
[2026-05-12 00:33:37.972] 192.168.10.248 -> 192.168.10.55: el
[2026-05-12 00:33:37.972] 192.168.10.248 -> 192.168.10.55: u
[2026-05-12 00:33:38.185] 192.168.10.248 -> 192.168.10.55: e
[2026-05-12 00:33:38.401] 192.168.10.248 -> 192.168.10.55: t
[2026-05-12 00:33:38.503] 192.168.10.248 -> 192.168.10.55: a
[2026-05-12 00:33:38.608] 192.168.10.248 -> 192.168.10.55: l
[2026-05-12 00:33:40.446] 192.168.10.248 -> 192.168.10.55: c
[2026-05-12 00:33:40.446] 192.168.10.248 -> 192.168.10.55: o
[2026-05-12 00:33:40.653] 192.168.10.248 -> 192.168.10.55: m
[2026-05-12 00:33:40.826] 192.168.10.248 -> 192.168.10.55: o
[2026-05-12 00:33:42.393] 192.168.10.248 -> 192.168.10.55: e
[2026-05-12 00:33:42.489] 192.168.10.248 -> 192.168.10.55: s
[2026-05-12 00:33:42.802] 192.168.10.248 -> 192.168.10.55: a
[2026-05-12 00:33:42.897] 192.168.10.248 -> 192.168.10.55: t
[2026-05-12 00:33:43.008] 192.168.10.248 -> 192.168.10.55: s
[2026-05-12 00:33:47.613] 192.168.10.248 -> 192.168.10.55: 6
[2026-05-12 00:33:49.865] 192.168.10.248 -> 192.168.10.55: 6
[2026-05-12 00:33:50.070] 192.168.10.248 -> 192.168.10.55: 6
